baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Omics Group Pair,Probe Name,Gene Symbol,Omics Group 1,Omics Group 2
336.4827013,0.327043853,0.222437254,1.518720298,0.128832915,0.310028504,121_vs_120,GCLM_25908,GCLM,121,120
216.0955241,0.299432267,0.225097553,1.395621214,0.162828591,0.36163973,121_vs_120,GCLM_2615,GCLM,121,120
58.49618938,-0.536049001,0.302124369,-1.851887329,0.064042004,0.196144012,121_vs_120,GGCX_2638,GGCX,121,120
119.9583942,0.765683111,0.283321961,2.819109126,0.004815714,0.028442441,121_vs_120,GJB2_2653,GJB2,121,120
24.42333537,0.567106269,0.406007016,1.429410368,0.15288632,0.34631068,121_vs_120,GMNN_2688,GMNN,121,120
48.54804102,-0.412805093,0.312593795,-1.35314482,0.17600937,0.38074917,121_vs_120,GMPR2_2691,GMPR2,121,120
1059.408845,-0.369913305,0.156409463,-2.393028906,0.016709925,0.071759676,121_vs_120,GNAS_2704,GNAS,121,120
1143.805585,0.374097686,0.180354343,2.122397236,0.033804394,0.123450551,121_vs_120,GPX1_16566,GPX1,121,120
80.17535025,0.582830105,0.284382942,2.096602864,0.036028746,0.129595127,121_vs_120,GRB10_2771,GRB10,121,120
88.24916549,-0.741504212,0.302831431,-2.565254715,0.010310009,0.049922148,121_vs_120,GSTM3_17117,GSTM3,121,120
155.5358818,0.347221732,0.260124765,1.378192503,0.168143861,0.370350015,121_vs_120,GTF2H2C_2837,GTF2H2C,121,120
50.93240187,-0.686259268,0.328609085,-2.248010476,0.024575522,0.096090892,121_vs_120,GUSB_19359,GUSB,121,120
14.68410262,-0.841603896,0.664946047,-1.443767699,0.148804331,0.338821986,121_vs_120,HACD3_5591,HACD3,121,120
1318.915329,0.80445746,0.183494523,4.436337427,9.15E-06,0.000173709,121_vs_120,HDAC2_2900,HDAC2,121,120
121.0858408,0.665765068,0.335279052,2.03059266,0.042296333,0.14517436,121_vs_120,HDGFRP3_2909,HDGFRP3,121,120
257.961944,0.606026771,0.331228218,1.953158688,0.050800795,0.165940516,121_vs_120,HIST1H1C_2950,HIST1H1C,121,120
485.2242959,0.520215061,0.288409957,1.867672731,0.061807702,0.191255259,121_vs_120,HIST1H1E_14544,HIST1H1E,121,120
85.57467008,-0.546719241,0.387954293,-1.49988558,0.133644044,0.316198371,121_vs_120,HIST1H2BB_12129,HIST1H2BB,121,120
234.0689997,-0.516532949,0.323902557,-1.611970563,0.106968346,0.274242532,121_vs_120,HIST1H2BC_2952,HIST1H2BC,121,120
13.79072291,-0.829327411,0.675028906,-1.539949961,0.123572551,0.302544056,121_vs_120,HIST1H2BI_11969,HIST1H2BI,121,120
105.7347558,-0.447094316,0.262030096,-1.746112017,0.080791489,0.228702061,121_vs_120,HIST1H3D_17823,HIST1H3D,121,120
538.5621394,-0.686435168,0.432350765,-1.684944071,0.091999363,0.248377512,121_vs_120,HLA-B_2976,,121,120
116.5778831,-0.780744424,0.498973177,-1.750107918,0.080099694,0.227281693,121_vs_120,HLA-C_2979,,121,120
396.4198846,0.452111193,0.300226659,1.573080851,0.115700098,0.290099198,121_vs_120,HMGA2_3022,HMGA2,121,120
88.71873266,0.623159121,0.406850655,1.671604901,0.094602258,0.25329308,121_vs_120,HOXA10_3077,HOXA10,121,120
27.76674174,0.517492827,0.302572377,1.789827505,0.073481646,0.214613061,121_vs_120,HOXD4_13252,HOXD4,121,120
89.48389844,-0.477172406,0.236966615,-1.995675822,0.045969221,0.154435921,121_vs_120,HOXD8_12050,HOXD8,121,120
78.878276,-0.803145976,0.377445175,-2.201087631,0.027729821,0.105958037,121_vs_120,HSD17B8_24850,HSD17B8,121,120
1427.761422,0.611642591,0.195737946,3.149388364,0.001636126,0.012030781,121_vs_120,HSP90AB1_3128,HSP90AB1,121,120
796.6373863,-0.723399342,0.337617789,-2.300512305,0.021419213,0.086986006,121_vs_120,HSPA5_14023,HSPA5,121,120
175.648278,0.765130242,0.299489171,2.606064137,0.009158931,0.045832977,121_vs_120,HSPD1_3152,HSPD1,121,120
1342.104041,-0.711740004,0.21801209,-3.309488192,0.000934667,0.007705673,121_vs_120,HSPE1_27335,HSPE1,121,120
148.8731896,0.662933535,0.230867505,2.930368525,0.003385602,0.021595628,121_vs_120,IDE_3201,IDE,121,120
477.5491299,0.487955566,0.342056598,1.506191823,0.132017938,0.315156594,121_vs_120,IER2_3213,IER2,121,120
104.3582226,-0.78354615,1.260739856,-1.33817002,0.18084102,0.385299454,121_vs_120,IFI27_28214,IFI27,121,120
9.879535265,0.680267442,0.540981508,1.352523474,0.176207915,0.38074917,121_vs_120,IFNAR1_3235,IFNAR1,121,120
974.9722183,0.380639899,0.282834016,1.395809797,0.162771779,0.36163973,121_vs_120,IGF2R_3263,IGF2R,121,120
19.94718401,-0.679714641,0.581702801,-1.458560289,0.14468617,0.332139462,121_vs_120,IGFBP6_26498,IGFBP6,121,120
177.5085891,0.817731727,0.292113464,2.866593515,0.004149156,0.025475091,121_vs_120,IKBKAP_3288,IKBKAP,121,120
781.3111528,0.34267309,0.120154432,2.853853791,0.00431924,0.026156008,121_vs_120,IQGAP1_3404,IQGAP1,121,120
19.9613111,-0.810393694,1.684078723,-1.502236006,0.133036169,0.31569694,121_vs_120,ISG15_3415,ISG15,121,120
131.2110645,-0.447417759,0.338633642,-1.35302047,0.176049091,0.38074917,121_vs_120,ITGA1_27365,ITGA1,121,120
172.7246731,0.315077719,0.182152143,1.724609323,0.084597902,0.234754271,121_vs_120,JAK1_3463,JAK1,121,120
141.4458267,0.801529432,0.233790103,3.46285543,0.000534475,0.004842672,121_vs_120,JMJD6_3471,JMJD6,121,120
366.0759987,-0.388551718,0.269324854,-1.536320985,0.124459675,0.30347354,121_vs_120,KDELR2_3540,KDELR2,121,120
38.55854547,0.409709606,0.262558144,1.61430869,0.106460486,0.273820949,121_vs_120,KEAP1_3547,KEAP1,121,120
248.0999369,-0.441312316,0.163583853,-2.696582547,0.007005503,0.037404383,121_vs_120,KIAA0196_3558,KIAA0196,121,120
94.77572133,0.828848564,0.348328694,2.521731686,0.011677874,0.054771521,121_vs_120,KIAA0753_3564,KIAA0753,121,120
48.78519561,-0.371642867,0.264396669,-1.444746081,0.148529221,0.33868627,121_vs_120,KIF13A_22151,KIF13A,121,120
52.75585844,0.78877359,0.305459764,2.636019871,0.008388482,0.043113164,121_vs_120,KIF1BP_3583,KIF1BP,121,120
355.5016595,-0.60874199,0.213996858,-2.888715844,0.003868185,0.02403298,121_vs_120,KLHDC2_3630,KLHDC2,121,120
86.80947822,0.423897202,0.212503705,2.01839996,0.043549624,0.148539436,121_vs_120,KTN1_3708,KTN1,121,120
346.3645649,-0.829727231,0.155809868,-5.375784895,7.62E-08,3.04E-06,121_vs_120,KYAT3_26971,KYAT3,121,120
2456.96792,0.426874098,0.181915476,2.393698228,0.016679466,0.071757701,121_vs_120,LAMP1_3730,LAMP1,121,120
